NAME,ADDRESS
도곡종합동물병원,"서울특별시 강남구 언주로 314, 105호 (역삼동)"
치료멍멍동물병원,"서울특별시 강남구 도산대로 309, 2,3층 (신사동)"
가로수동물병원,"서울특별시 강남구 압구정로 134, 1층 (신사동)"
드림동물병원,"서울특별시 강남구 역삼로 234, 101,102호 (역삼동)"
서울동물병원,"서울특별시 강남구 역삼로 426, 1,2층 (대치동, 강남구 역삼로 437 2,3층)"
힐스타동물병원,"서울특별시 강남구 자곡로 202, 105호 (자곡동, 강남힐스테이트에코)"
강남다온동물병원,"서울특별시 강남구 도곡로 174, 1,2층 (도곡동)"
압구정웰동물병원,"서울특별시 강남구 압구정로 108 (신사동, 덕산빌딩 203호 )"
선릉동물병원,"서울특별시 강남구 선릉로 533, 연안이씨빌딩 1층 (역삼동)"
루이스동물병원,"서울특별시 강남구 테헤란로64길 13 (대치동, 선릉역 풍림아이원레몬)"
베스트동물병원,"서울특별시 강남구 도곡로 447, 1층 (대치동, 제일빌딩)"
굿모닝동물병원,"서울특별시 강남구 학동로 413 (청담동, 청담빌딩)"
개포별빛동물병원,"서울특별시 강남구 논현로 70, 1층 (개포동, 동성빌딩)"
쿨펫동물병원,"서울특별시 강남구 도곡로 401, 1층 (대치동, 롯데백화점)"
하나동물병원,"서울특별시 강남구 영동대로 217 (대치동, 백암빌딩)"
충현동물심장진료센터,"서울특별시 강남구 논현로 621, 3층 (논현동, 동림빌딩)"
청담눈초롱안과동물병원,"서울특별시 강남구 도산대로 539, 4층 (청담동, 금원빌딩)"
페츠비동물병원,"서울특별시 강남구 도산대로 155, 1-2층 (신사동, 국제빌딩)"
서울동물심장병원,"서울특별시 강남구 언주로 542, 1층 (역삼동, ENP Tower)"
센트럴동물병원,"서울특별시 강남구 도곡로 510, 1층 (대치동, 성창빌딩)"
수서동물병원,"서울특별시 강남구 광평로 196, 1층 109호 (수서동, 제이스프라자)"
압구정동물병원,"서울특별시 강남구 압구정로 224, 105호 (신사동, 우미빌딩)"
대치동물의료센터,"서울특별시 강남구 도곡로 439, 1층 (대치동, 신화빌딩)"
다옴동물병원,"서울특별시 강남구 광평로10길 50 (일원동, 청솔빌리지상가 23-25호, 33호)"
아미칼동물병원,"서울특별시 강남구 남부순환로 2936, 108호 (대치동, 윈플러스상가)"
닥터그레이동물병원,"서울특별시 강남구 언주로30길 21, 104-1호 (도곡동, 아카데미스위트)"
24시 스마트동물병원(신사본원),"서울특별시 강남구 도산대로 213 (신사동, 1층, 지하1층)"
대치수동물병원,"서울특별시 강남구 삼성로 212 (대치동, 은마상가 1층 B120, B121)"
대치동물의료센터,"서울특별시 강남구 도곡로 439, 1층 (대치동, 신화빌딩)"
원동물병원,"서울특별시 강남구 역삼로 459, 한상빌딩 1층 (대치동)"
압구정메이트동물병원,"서울특별시 강남구 압구정로 332 (신사동, 1층,2층)"
24시 SNC 동물메디컬센터,"서울특별시 강남구 논현로 416, 1층 (역삼동, 운기빌딩)"
나은동물병원,"서울특별시 강남구 개포로 243, 101호 (개포동, 흥진빌딩)"
아크리스동물의료센터,"서울특별시 강남구 봉은사로104길 10, 3층 (삼성동, 동화빌딩)"
서울동물의료센터,"서울특별시 강남구 역삼로 426, 1,2층 (대치동)"
24시OK동물병원,"서울특별시 강남구 선릉로 338, 오성빌딩동 1,2층 (대치동)"
신사24시SKY동물병원,"서울특별시 강남구 도산대로 155, 국제빌딩 1층 (신사동)"
봄사랑 동물병원,"서울특별시 강남구 압구정로29길 68, 2층 203호 (압구정동, 현대아파트)"
혜민동물병원,"서울특별시 강남구 봉은사로57길 59, 대호빌딩 1층 (삼성동)"
신사동물병원,"서울특별시 강남구 도산대로 206, 진성빌딩 (논현동)"
한아름동물병원,"서울특별시 강남구 봉은사로44길 1, 2층 (역삼동)"
최영민 동물의료센터,"서울특별시 강남구 논현로132길 24, 양현빌딩 2층/5층 (논현동)"
